0.32018 1.6081 0.18811
0.32221 1.1838 0.4188
0.33352 1.5409 0.022423
0.34922 1.3718 0.26575
0.38964 1.7984 0.15936
0.39054 1.5202 0.19224
0.41383 1.6309 0.015197
0.43966 0.93076 0.4833
0.45784 1.7141 0.14243
0.46087 1.6772 0.075528
0.46478 1.6658 0.026341
0.49096 1.1797 0.36448
0.50383 2.4887 0.49312
0.50479 2.072 0.33276
0.50517 1.854 0.33287
0.52495 1.8052 0.00052731
0.54172 1.8177 0.066724
0.54372 0.90633 0.44705
0.55568 2.1742 0.40165
0.55908 1.9559 0.021816
0.56584 1.8148 0.19778
0.56842 1.5312 0.47602
0.58172 2.4528 0.31698
0.5979 2.3647 0.48015
0.60829 2.3307 0.15686
0.61318 1.825 0.15521
0.6165 2.0566 0.24015
0.61701 2.0718 0.36858
0.62849 1.8531 0.17322
0.63408 2.2174 0.35617
0.63715 2.1537 0.1279
0.69992 2.5868 0.2023
0.70631 2.1166 0.24379
0.7079 2.7114 0.49861
0.71485 2.4561 0.105
0.72895 2.4868 0.37714
0.74027 2.6716 0.25051
0.74294 2.4981 0.25218
0.7449 2.4744 0.19163
0.76149 2.7865 0.18078
0.76942 2.515 0.47892
0.80443 3.5465 0.17327
0.80504 2.8079 0.0057922
0.81354 2.6073 0.34523
0.82951 1.6698 0.44559
0.83385 2.9808 0.21283
0.86762 3.216 0.25855
0.87279 2.8108 0.4132
0.88789 3.1691 0.3106
0.89798 3.3129 0.27195
0.90103 2.8165 0.27661
0.90271 3.1392 0.18129
0.90934 3.528 0.44594
0.93206 3.5204 0.18167
0.94703 3.6125 0.15828
0.95099 3.4122 0.23833
0.95214 3.4508 0.33216
0.95907 3.1061 0.27767
0.96435 3.5548 0.033777
0.96436 3.7099 0.16704
0.96772 3.6443 0.039098
0.97073 3.4519 0.39992
0.97193 4.5141 0.35617
0.98268 3.7539 0.013966
0.98909 4.114 0.33999
0.99268 3.7882 0.23331
1.0014 3.9294 0.085146
1.0063 4.0216 0.32594
1.0072 3.8216 0.10294
1.0539 3.871 0.24506
1.0705 3.9492 0.44918
1.0786 4.5406 0.15
1.0861 4.6211 0.2551
1.1295 4.0948 0.28143
1.1603 4.2393 0.40778
1.1718 4.8795 0.10229
1.1724 5.1434 0.45488
1.1767 4.7774 0.20863
1.1796 4.8853 0.08764
1.1817 4.9088 0.44567
1.1877 4.5434 0.47154
1.1896 4.7943 0.39467
1.1906 5.3375 0.25586
1.2013 4.8967 0.48042
1.2036 5.3327 0.19389
1.2085 5.1714 0.25029
1.2094 4.5896 0.45674
1.224 5.3531 0.1348
1.2245 4.6568 0.434
1.2386 5.3324 0.22104
1.2441 5.8344 0.31469
1.2479 5.3793 0.063118
1.2522 5.5408 0.14715
1.254 5.7796 0.19021
1.2614 5.5529 0.031107
1.2787 5.6992 0.31618
1.2839 5.2408 0.23347
1.2913 5.9172 0.12362
1.2978 5.5881 0.21795
1.2979 5.8341 0.31799
